Processor Speed,Processor Cores,RAM Gbs,Storage Gbs,Display Inches,GPU Model,USB Ports,Operating System,Weight,url,Battery mAh
,,,,,,,,,https://www.pccomponentes.com/hp-zbook-power-g7-intel-core-i7-10750h-16gb-512gb-ssd-quadro-t1000-156,
5.2 GHz,14 cores,32,1000,16,NVIDIA RTX 2000 Ada Generation,8 ports,Windows 11 Pro 64 Bits,1.73 kg,https://www.pccomponentes.com/hp-zbook-studio-16-g10-intel-core-i7-13800h-32gb-1tb-ssd-rtx-2000-16,
up to 4.8 GHz,16,32,1000,15.7,NVidia RTX 1000 Ada Generation Laptop GPU,4,Windows 11 Pro 64 bits,1.73,https://www.pccomponentes.com/portatil-hp-zbook-studio-g11-intel-core-ultra-7-155h-32gb-1tb-ssd-rtx-1000-16,
Boost speed: Not specified,8,16,512,15.6,NVidia GeForce RTX 4080 Ti,3,Windows,,https://www.pccomponentes.com/portatil-hp-zbook-studio-g11-intel-core-ultra-7-155h-32gb-1tb-ssd-rtx-4070-16,
5.0 GHz,16,32,1,16,NVidia RTX™ 2000 Ada Generation Laptop GPU,5,Windows 11 Pro 64 bits,1.73,https://www.pccomponentes.com/portatil-hp-zbook-studio-g11-intel-core-ultra-7-165h-32gb-1tb-ssd-rtx-2000-16,
"5,1 GHz",16,32,1000,16,NVidia RTX 3000 Ada Generation,4,Windows 11 Pro 64 bits,1.73,https://www.pccomponentes.com/portatil-hp-zbook-studio-g11-intel-core-ultra-9-185h-32gb-1tb-ssd-rtx-3000-16,
,0,,,,,0,,,https://www.pccomponentes.com/portatil-hp-zbook-studio-gen8-intel-core-i7-11850h-32gb-512gb-ssd-quadro-t1200-156,
2.8 GHz,6,16,512,15.6,NVidia RTX 3080 Ti,3,,,https://www.pccomponentes.com/portatil-hp-15-fd0053np-intel-core-i7-1255u-16gb-512gb-ssd-156-pt,
3.20 GHz,8,16,512,15.6,NVidia RTX 4080 Ti,3,Windows 11 Home,,https://www.pccomponentes.com/hp-elitebook-850-g3-intel-core-i5-6300u-8gb-256gb-ssd-156,4500
2.4 GHz,8,16,512,15.6,NVidia GeForce RTX 3080 Ti,3,Windows 11 Home,2.5,https://www.pccomponentes.com/innjoo-voom-pro-intel-celeron-n3350-6gb-128gb-emmc-141,
2.8GHz,8,16,512,15.6,NVidia GeForce RTX 3080 Ti,3,Windows 10,,https://www.pccomponentes.com/jetwing-n1507p7-intel-core-i7-7567u-8gb-256gb-ssd-156,
,0,0,0,0,,0,,0,https://www.pccomponentes.com/jetwing-n1510p3-intel-core-i3-1005g1-8gb-256gb-ssd-156,0
,,,,,,,,,https://www.pccomponentes.com/portatil-lg-16z90s-gaa76b-intel-core-ultra-7-155h-16gb-512gb-ssd-16,
2.5 GHz,4,16,512,15.6,NVidia RTX 4080 Ti,3,,,https://www.pccomponentes.com/portatil-lg-gram-14z90s-intel-core-ultra-7-155h-16gb-512gb-ssd-14-pt,
,,,,,,,,,https://www.pccomponentes.com/portatil-lg-gram-14z90s-intel-core-ultra-7-155h-32gb-1tb-ssd-14-pt,
,0,,,,,0,,,https://www.pccomponentes.com/portatil-lg-gram-15z90s-intel-core-ultra-5-125h-16gb-512gb-ssd-156-pt,
2.5 GHz,8,16,512,15.6,NVidia GeForce RTX 3080 Ti,2,,,https://www.pccomponentes.com/portatil-lg-gram-15z90s-intel-ultra-core-7-155h-16gb-512gb-ssd-156-fr,
,,,,,,,,,https://www.pccomponentes.com/lg-gram-13z990-g-intel-core-i5-8265u-8gb-256gb-ssd-133,
4.60GHz,8,16,1,14,Intel Iris Xe Graphics,3,Windows 11 Home,1250,https://www.pccomponentes.com/lg-gram-14t90q-gaa78b-intel-evo-core-i7-1260p-16gb-1tb-ssd-14-tactil,9360
,,,,,,,,,https://www.pccomponentes.com/lg-gram-14z90r-gap75b-intel-evo-core-i7-1360p-16gb-512gb-ssd-14,
3.2 GHz,8,16,512,15.6,NVidia RTX 4080 Ti,4,Windows 10,,https://www.pccomponentes.com/lg-gram-15z90r-gad78b-intel-evo-core-i7-1360p-32gb-1tb-ssd-15,96
,,,,,,,,,https://www.pccomponentes.com/lg-gram-15z90r-gap75b-intel-evo-core-i7-1360p-32gb-512gb-ssd-155,
2.4 GHz,8,16,512,15.6,NVidia GeForce GTX 1660 Ti,3,,,https://www.pccomponentes.com/lg-gram-15zd90r-gax75b-intel-evo-core-i7-1360p-16gb-512gb-ssd-15,72000
2.8 GHz,8,16,512,15.6,NVidia RTX 4080 Ti,3,,,https://www.pccomponentes.com/portatil-lg-gram-16-2024-intel-core-ultra-7-155h-16gb-512gb-ssd-16-pt,
,,,,,,,,,https://www.pccomponentes.com/lg-gram-16z90p-intel-evo-core-i5-1135g7-16gb-512gb-ssd-16,
,,,,,,,,,https://www.pccomponentes.com/portatil-lg-gram-16z90r-intel-core-i7-1360p-16gb-1tb-ssd-16-fr,
,,,,,,,,,https://www.pccomponentes.com/lg-gram-16z90r-ead75b-intel-evo-core-i7-1360p-32gb-512gb-ssd-rtx-3050-16,
2.5 GHz,4,16,512,15.6,NVidia RTX 4080 Ti,,,,https://www.pccomponentes.com/lg-gram-17z90r-ead75b-intel-evo-core-i7-1360p-32gb-512gb-ssd-rtx-3050-17,
,,,,,,,,,https://www.pccomponentes.com/lg-gram-17z90s-gad78b-intel-evo-core-ultra-7-155h-32gb-1tb-ssd-17,
,,,,,,0,,,https://www.pccomponentes.com/lg-gram-17zd90r-gax75b-intel-evo-core-i7-1360p-16gb-512gb-ssd-17,
,0,0,0,,,0,,,https://www.pccomponentes.com/lg-gram-pro-2-en-1-14t90s-gaa75b-intel-evo-core-ultra-7-155h-16gb-512gb-ssd-14-tactil,
2.4 GHz,8,16,512,15.6,NVidia RTX 3070 Ti,3,,,https://www.pccomponentes.com/lg-gram-ultraslim-15z90rt-gaa75b-intel-evo-core-i7-1360p-16gb-512gb-ssd-15-oled,80
2.0GHz,6,8,512,14,AMD Radeon™ Graphics,4,Windows 11 Pro,1.4,https://www.pccomponentes.com/lg-ultra-14u70r-amd-ryzen-5-7530u-8gb-512gb-ssd-14,4540
2.4 GHz,8,16,512,15.6,NVidia GeForce RTX 2070 Ti,3,Windows 10,,https://www.pccomponentes.com/lg-ultra-16u70q-amd-ryzen-5-5625u-8gb-512gb-ssd-16,
1.2GHz,14,16,512,15.6,Intel Arc Graphics,4,Windows 11 Home,1290,https://www.pccomponentes.com/portatil-lg-gram-15z90s-gaa55b-intel-evo-core-ultra-5-125h-16gb-512gb-ssd-156,
up to 4.7 GHz,8 cores,16 GB,1 TB SSD,14 inches,,6,Windows 11 Home,1.35 kg,https://www.pccomponentes.com/portatil-lg-gram-17-17z90s-intel-evo-core-ultra-7-155h-16gb-1tb-ssd-17,
,,,,,,,,,https://www.pccomponentes.com/portatil-lg-gram-pro-17z90sp-e-intel-evo-core-ultra-7-155h-32gb-1tb-ssd-rtx-3050-17,
,0,,,,,,,,https://www.pccomponentes.com/portatil-lg-gram-pro-oled-16z90sp-a-intel-core-ultra-7-155h-32gb-1tb-ssd-16,
"1,4 GHz",8,32,1000,16,INTEL ARC GRAPHICS,2,Windows 11 Home,,https://www.pccomponentes.com/portatil-lg-gram-pro-oled-16z90sp-k-intel-core-ultra-7-155h-32gb-1tb-ssd-16,
2.8GHz,2,4GB,32GB,11.6,Intel UHD Graphics 600,4,ChromeOS,1.21kg,https://www.pccomponentes.com/lenovo-100e-chromebook-2nd-gen-intel-celeron-n4020-4gb-32gb-emmc-116,
1.2 GHz,2,4 GB,32 GB,14,AMD Radeon Graphics,3,ChromeOS,1.45 kg,https://www.pccomponentes.com/lenovo-14e-chromebook-gen-2-amd-3015ce-4gb-32gb-emmc-14,
,,,,,,,,,https://www.pccomponentes.com/lenovo-14w-gen-2-amd-3015e-4gb-128gb-ssd-14,
2.3GHz,2,4GB,128GB,11.6,AMD Radeon Graphics,3,Windows 11 Pro,1.33kg,https://www.pccomponentes.com/lenovo-300w-gen-3-amd-3015e-4gb-128gb-ssd-116-tactil,
,,,,,,,u003e,,https://www.pccomponentes.com/lenovo-ideapad-1-14ada7-amd-3020e-4gb-256gb-ssd-14,
,,,,,,,,,https://www.pccomponentes.com/lenovo-ideapad-1-15alc7-amd-ryzen-5-5500u-8gb-512gb-ssd-156,
4.3,8,16,512,15.6,AMD Radeon,3,,1.61,https://www.pccomponentes.com/portatil-lenovo-ideapad-1-15alc7-amd-ryzen-7-5700u-16-gb-512-gb-ssd-156,
,,,,,,,,,https://www.pccomponentes.com/lenovo-ideapad-1-15alc7-amd-ryzen-7-5700u-16-gb-512gb-ssd-156,
2.8 GHz,8,16,512,15.6,NVidia GeForce GTX 1660 Ti,3,Windows 10 Home,,https://www.pccomponentes.com/lenovo-ideapad-1-15alc7-amd-ryzen-7-5700u-16gb-512gb-ssd-156,
,,,,,,,,,https://www.pccomponentes.com/lenovo-ideapad-1-15iau7-intel-core-i5-1235u-16gb-1tb-ssd-156,
,,,,,,,,,https://www.pccomponentes.com/lenovo-ideapad-3-14alc6-amd-ryzen-5-5500u-8-gb-512gb-ssd-14,
,,,,,,,,,https://www.pccomponentes.com/lenovo-ideapad-3-15alc6-amd-ryzen-5-5500u-16-gb-512gb-ssd-156,
,8,8,512,15.6,,3,Windows 11 Home,1.65,https://www.pccomponentes.com/portatil-lenovo-ideapad-3-15alc6-amd-ryzen-5-5500u-16gb-512-gb-ssd-156,4500
,,,,,,0,,,https://www.pccomponentes.com/lenovo-ideapad-3-15alc6-amd-ryzen-5-5500u-8gb-512gb-ssd-156-azul,
,0,,,,,0,,,https://www.pccomponentes.com/lenovo-ideapad-3-15alc6-amd-ryzen-7-5700u-16-gb-512-gb-ssd-156,
,,,,,,,,,https://www.pccomponentes.com/lenovo-ideapad-3-15alc6-amd-ryzen-7-5700u-16gb-1tb-ssd-156-teclado-italiano,
,,,,,,,,,https://www.pccomponentes.com/lenovo-ideapad-3-15alc6-amd-ryzen-7-5700u-16gb-512gb-ssd-156,
,,,,,,,,,https://www.pccomponentes.com/lenovo-ideapad-3-15alc6-amd-ryzen-7-5700u-8-gb-512gb-ssd-156,
,,,,,,,,,https://www.pccomponentes.com/lenovo-ideapad-3-15alc6-amd-ryzen-7-5700u-8gb-256gb-ssd-156-teclado-italiano,
,,,,,,,,,https://www.pccomponentes.com/lenovo-ideapad-3-15iau7-intel-core-i3-1215u-8-gb-256gb-ssd-156-teclado-italiano,
,,,,,,,,,https://www.pccomponentes.com/lenovo-ideapad-3-15iau7-intel-core-i5-1235u-16gb-512gb-ssd-156,
,,,,,,,,,https://www.pccomponentes.com/lenovo-ideapad-3-15itl6-intel-core-i3-1115g4-8gb-512gb-ssd-156,
,,,,,,,,,https://www.pccomponentes.com/lenovo-ideapad-3-15itl6-intel-core-i5-1135g7-16-gb-512-gb-ssd-156,
3.5 GHz,8,16,512,15.6,NVidia RTX 3080 Ti,2,Windows 10,,https://www.pccomponentes.com/lenovo-ideapad-3-15itl6-intel-core-i5-1135g7-16gb-512-gb-ssd-156,
,,,,,,,,,https://www.pccomponentes.com/lenovo-ideapad-3-15itl6-intel-core-i5-1135g7-8-gb-512gb-ssd-156,
,,,,,,,,,https://www.pccomponentes.com/lenovo-ideapad-3-15itl6-intel-core-i5-1155g7-16-gb-512-gb-ssd-156,
,,,,,,,,,https://www.pccomponentes.com/lenovo-ideapad-3-15itl6-intel-core-i5-1155g7-16-gb-512gb-ssd-156,
2.7GHz,8,16,512,15.6,NVidia RTX 3070 Ti,3,,,https://www.pccomponentes.com/lenovo-ideapad-3-15itl6-intel-core-i5-1155g7-16gb-512gb-ssd-156,
4.2GHz,4,8,512,14,Intel Iris Xe Graphics,3,Windows 10 Home in S mode,1.39kg,https://www.pccomponentes.com/lenovo-ideapad-5-14itl05-intel-core-i5-1135g7-8gb-512gb-ssd-14,
,2,8,256,15.6,Intel UHD Graphics 600,3,,1.7,https://www.pccomponentes.com/alurin-go-start-intel-celeron-n4020-8gb-256gb-ssd-156,5000
,,16,,15.6,NVidia GeForce RTX,3,Windows,,https://www.pccomponentes.com/pccom-revolt-4060-intel-core-i9-14900hx-32gb-1tb-ssd-rtx-4060-173-windows-11-home,80
2.4 GHz,4,16,512,15.6,NVidia RTX 3050,2,,,https://www.pccomponentes.com/portatil-asus-tuf-gaming-a15-fa506ncr-hn006-amd-ryzen-7-7435hs-16gb-512gb-ssd-rtx-3050-156,
4.6GHz,8,16,512,15.6,Integrated Intel UHD Graphics,3,,1.62,https://www.pccomponentes.com/portatil-lenovo-ideapad-slim-3-15irh8-intel-core-i5-13420h-16gb-512gb-ssd-156,
2.4GHz,10,16GB,1TB,15.6,Integrated Intel UHD Graphics,3,Windows 11 Home,1.62kg,https://www.pccomponentes.com/portatil-lenovo-ideapad-slim-3-gen-8-15irh8-intel-core-i7-13620h-16gb-1tb-ssd-156,
4.6GHz,10,16,512,15.6,Integrated Intel Iris Xe Graphics,4,Windows 11 Home 64 Bits,1.59,https://www.pccomponentes.com/hp-15-fd0080ns-intel-core-i5-1334u-16gb-512gb-ssd-156,
,,,512,15.6,NVidia GeForce RTX 4080 Ti,2,,,https://www.pccomponentes.com/msi-cyborg-15-a13vf-879xes-intel-core-i7-13620h-32gb-1tb-ssd-rtx-4060-156,
4.4GHz,8,16,512,15.6,Integrated Intel UHD Graphics,3,Windows 11 Home,1.62,https://www.pccomponentes.com/portatil-lenovo-ideapad-slim-3-15iah8-intel-core-i5-12450h-16gb-512-gb-ssd-156,
4.6GHz,8C,16GB,1TB,15.6,Integrated Intel UHD Graphics,3,,1.62kg,https://www.pccomponentes.com/portatil-lenovo-ideapad-slim-3-gen-8-15irh8-intel-core-i5-13420h-16gb-1tb-ssd-156,
,Multi-core,16,1,14,NVidia GeForce RTX series 30,3,,,https://www.pccomponentes.com/portatil-msi-thin-15-b12uc-1839xes-intel-core-i7-12650h-16gb-1tb-ssd-rtx-3050-156,
2.0 GHz,4,8,256,14,AMD Radeon Graphics,3,Windows 11 Home,1.7,https://www.pccomponentes.com/portatil-asus-vivobook-15-m1502ya-nj506w-amd-ryzen-7-7730u-16gb-512gb-ssd-156,
3.8GHz,8,8,256,15.6,Intel UHD Graphics,4,,1.63,https://www.pccomponentes.com/portatil-asus-vivobook-go-15-e1504ga-nj646-intel-core-i3-n305-8gb-256gb-ufs-156,
2.5 GHz,8,8,256,14,Intel Iris Xe Graphics,3,FreeDOS,1.59,https://www.pccomponentes.com/hp-15-fd0079ns-intel-core-i5-1334u-16gb-1tb-ssd-156,
,,,,,NVidia GeForce RTX 4080 Ti,,,,https://www.pccomponentes.com/portatil-hp-victus-gaming-16-r0036ns-intel-core-i7-13620h-32gb-1tb-ssd-rtx4060-161-regalo-hyperx-cloud-iii,
4.6GHz,8C/12T,16GB,1TB,15.6,Integrated Intel UHD Graphics,3,Windows 11 Home,1.62kg,https://www.pccomponentes.com/portatil-lenovo-ideapad-slim-3-15irh8-intel-core-i5-13420h-16gb-1tb-ssd-156,
,8,16,512,15.6,NVIDIA GeForce RTX,3,Windows,,https://www.pccomponentes.com/hp-omen-17-db0005ns-amd-ryzen-9-8945hs-32gb-1tb-ssd-rtx-4060-173,
,8,8,256,13.6,,,macOS Sonoma,,https://www.pccomponentes.com/portatil-apple-macbook-air-apple-m3-8-nucleos-16gb-256gb-ssd-gpu-8-nucleos-136-medianoche,
,,,512,15.6,NVidia GeForce RTX,2,,,https://www.pccomponentes.com/msi-cyborg-15-a13ve-472xes-intel-core-i7-13620h-16gb-1tb-ssd-rtx-4050-156,
,8,8,256,13.6,,,M3 de Apple,,https://www.pccomponentes.com/apple-macbook-air-apple-m3-16gb-512gb-ssd-gpu-10-nucleos-136-medianoche,
4.5GHz,8,16,512,15.6,AMD Radeon Graphics,5,Windows 11 Home,1.7 kg,https://www.pccomponentes.com/portatil-asus-vivobook-15-m1502ya-nj201w-amd-ryzen-7-7730u-16gb-512gb-ssd-156,
5.2 GHz,16,32,1,16,NVidia GeForce RTX 4070,3,,2.3,https://www.pccomponentes.com/portatil-msi-sword-16-hx-b14vgkg-878xes-intel-core-i7-14650hx-32gb-1tb-ssd-rtx-4070-16,
,,,,,,,,,https://www.pccomponentes.com/hp-victus-gaming-16-r0036ns-intel-core-i7-13620h-32gb-1tb-ssd-rtx-4060-161,
5.8 GHz,24,32,1,16,NVIDIA GeForce RTX 4060,2,,2.3,https://www.pccomponentes.com/msi-sword-16-hx-b14vfkg-054xes-intel-core-i9-14900hx-32gb-1tb-ssd-rtx-4060-16,
5.1GHz,16,16,1,14,,4,Windows 11 Home,1.3,https://www.pccomponentes.com/portatil-asus-vivobook-s-14-oled-s5406ma-qd089w-intel-core-ultra-9-185h-16gb-1tb-ssd-14,
4.3,8,16,512,15.6,AMD Radeon,5,Windows 11 Home,1.8,https://www.pccomponentes.com/portatil-acer-aspire-3-15-a315-44p-amd-ryzen-7-5700u-16gb-512-gb-ssd-156,
,,,256,13,,,macOS Sonoma,,https://www.pccomponentes.com/portatil-apple-macbook-air-apple-m3-8-nucleos-16gb-256gb-ssd-gpu-8-nucleos-136-gris-espacial,
,8,16,512,15.6,NVIDIA GeForce RTX 2050,3,,1.8,https://www.pccomponentes.com/portatil-asus-vivobook-16x-k3605zf-mb484-intel-core-i5-12500h-16gb-512gb-ssd-rtx-2050-16,
2.5,4,8,512,13.3,,3,Windows 11 Home,1.63,https://www.pccomponentes.com/portatil-asus-vivobook-go-15-oled-e1504fa-l11305w-amd-ryzen-5-7520u-16gb-512gb-ssd-156,3600
3600,8,16,512,15.6,NVidia GeForce RTX 4080 Ti,3,,,https://www.pccomponentes.com/portatil-lenovo-loq-gen-7-15arp9-amd-ryzen-7-7435hs-24gb-1tb-ssd-rtx-4060-156,
,8,16,512,15.6,NVidia GeForce RTX,3,,,https://www.pccomponentes.com/portatil-msi-thin-a15-b7ve-071xes-amd-ryzen-5-7535hs-16gb-512gb-ssd-rtx-4050-156,
no info,4,16,512,15.6,NVidia GeForce RTX 4080 Ti,2,Windows,,https://www.pccomponentes.com/portatil-lenovo-loq-gen-9-15arp9-amd-ryzen-7-7435hs-24gb-1tb-ssd-rtx-4070-156,
,8,8,256,13.6,,,macOS Sonoma,,https://www.pccomponentes.com/portatil-apple-macbook-air-apple-m3-8-nucleos-16gb-256gb-ssd-gpu-8-nucleos-136-plata,
up to 3.4 GHz,16,8,512,15.6,NVIDIA GeForce RTX 4060,3,,1.98,https://www.pccomponentes.com/msi-cyborg-15-a13vf-828xes-intel-core-i7-13620h-16gb-512gb-ssd-rtx-4060-156,
,8,,256,13.6,,,macOS Sonoma,,https://www.pccomponentes.com/portatil-apple-macbook-air-apple-m3-8-nucleos-16gb-256gb-ssd-gpu-8-nucleos-136-blanco-estrella,
3.4 GHz,8,16,1,15.6,Intel Iris Xe Graphics,4,,1.7,https://www.pccomponentes.com/portatil-msi-modern-15-f13mg-246xes-intel-core-i7-1355u-32gb-1tb-ssd-156,
,,,,,RTX,1,,,https://www.pccomponentes.com/portatil-asus-vivobook-pro-15-oled-n6506mu-ma029-intel-core-ultra-7-155h-16gb-1tb-ssd-rtx-4050-156,
3.8 GHz,8,8,512,15.6,Intel UHD Graphics,2,Windows 11 Home in S mode,1.63 kg,https://www.pccomponentes.com/portatil-asus-vivobook-go-15-e1504ga-nj580w-intel-core-i3-n305-8gb-512gb-ssd-156,
5 GHz,10,16,1TB,15.6,Intel Iris Xe,4,,1.59 kg,https://www.pccomponentes.com/hp-15-fd0020ns-intel-core-i7-1355u-16gb-1tb-ssd-156,
,8,16,512,15.6,NVidia GeForce RTX 4080 Ti,3,,,https://www.pccomponentes.com/portatil-lenovo-loq-15irh8-intel-core-i5-12450h-16gb-512gb-ssd-rtx4050-156,
up to Intel i7-12650H,12,16,512,15.6,NVidia GeForce RTX 3050,4,,1.98,https://www.pccomponentes.com/msi-cyborg-15-a12ucx-657xes-intel-core-i7-12650h-16gb-512gb-ssd-rtx-2050-156,
,8,16,512,15.6,AMD Radeon,5,FreeDOS,1.75,https://www.pccomponentes.com/msi-modern-15-b7m-243xes-amd-ryzen-7-7730u-16gb-512gb-ssd-156,
4.6GHz,10,16GB,1TB,15.6,Intel Iris Xe Graphics,4,Windows 11 Home,1.7kg,https://www.pccomponentes.com/portatil-asus-vivobook-15-oled-f1505va-ma596w-intel-core-i5-1335u-16gb-1tb-ssd-156,
4.5GHz,14,16,512,14,,4,Windows 11 Home,1.3,https://www.pccomponentes.com/portatil-asus-vivobook-s-14-oled-s5406ma-qd162w-intel-core-ultra-5-125h-16gb-512gb-ssd-14,
up to 2.7 GHz,12,16GB,1000GB,14,Intel Iris Xe Graphics,4,,1.5 kg,https://www.pccomponentes.com/portatil-msi-modern-14-f13mg-203xes-intel-core-i7-1355u-16gb-1tb-ssd-14,
3.1 GHz,,16,1000,,NVIDIA GeForce RTX 4080 Ti,3,,,https://www.pccomponentes.com/hp-victus-16-r1001ns-intel-core-i7-14650hx-32gb-1tb-ssd-rtx-4060-161,
None,None,16,512,15.6,Intel Iris Xe Graphics,4,None,1.7,https://www.pccomponentes.com/portatil-msi-modern-15-f13mg-248xes-intel-core-i5-1334u-16gb-512gb-ssd-156,None
5.1 GHz,8,16,1 TB,14,AMD Radeon 780M,5,Windows 11 Home,1.3 kg,https://www.pccomponentes.com/portatil-asus-vivobook-s-14-oled-m5406ua-qd053w-amd-ryzen-7-8845hs-16gb-1tb-ssd-14,
Intel Core i5-12450H (base speed),4,16,512,15.6,NVidia GeForce RTX 3050,5,FreeDOS,,https://www.pccomponentes.com/portatil-msi-thin-b12uc-1680xes-intel-core-i5-12450h-16gb-512gb-ssd-rtx-3050-156,
,6,16,512,15.6,AMD Radeon,5,FreeDOS,1.75,https://www.pccomponentes.com/msi-modern-15-b7m-041xes-amd-ryzen-5-7530u-16gb-512gb-ssd-156,
,,16,512,15.6,,,,,https://www.pccomponentes.com/hp-victus-16-s0011ns-amd-ryzen-7-7840hs-32gb-1tb-ssd-rtx-4060-161,
2.0,4,8,256,14,Intel Iris Xe Graphics,4,,1.7,https://www.pccomponentes.com/portatil-asus-vivobook-f1504va-nj2237-intel-core-i5-1334u-16gb-512gb-ssd-156,
,8,16,512,14.0,GeForce RTX serie 30,3,FreeDOS,2.29,https://www.pccomponentes.com/hp-victus-15-fa0058ns-intel-core-i7-12650h-16gb-512gb-ssd-rtx-3050-156,
5.2 GHz,16,16 GB,1 TB,16 inches,NVIDIA GeForce RTX 4060,3,,2.3 kg,https://www.pccomponentes.com/portatil-msi-sword-16-hx-b14vfkg-877xes-intel-core-i7-14650hx-16gb-1tb-ssd-rtx-4060-16,
4.6GHz,8,16GB,512GB,15.6,Intel UHD (integrado),4,Windows 11 Pro,1.65kg,https://www.pccomponentes.com/lenovo-v15-g4-iru-intel-core-i5-13420h-16gb-512gb-ssd-156,
,8,8,256,13,,,macOS Sonoma,,https://www.pccomponentes.com/portatil-apple-macbook-air-apple-m3-8-nucleos-24gb-512gb-ssd-gpu-10-nucleos-136-medianoche,
4.5 GHz,8,16,512,15.6,AMD Radeon Graphics,4,,1.7,https://www.pccomponentes.com/portatil-asus-vivobook-15-m1502ya-nj448-amd-ryzen-7-7730u-16gb-512gb-ssd-156,
,,16,512,15.6,NVidia GeForce RTX 4080 Ti,4,,2.39,https://www.pccomponentes.com/hp-omen-16-wf1000ns-intel-core-i7-14700hx-32gb-1tb-ssd-rtx-4060-161,7680
,8,8,256,13.3,AMD SoC,2,FreeDOS,1.59,https://www.pccomponentes.com/portatil-hp-15-fc0058ns-amd-ryzen-7-7730u-16gb-1tb-ssd-156,
,24,32,1,16.1,NVidia GeForce RTX 4060,5,FreeDOS,2.39,https://www.pccomponentes.com/hp-omen-16-wf1021ns-intel-core-i9-14900hx-32gb-1tb-ssd-rtx-4060-161,
5.2,16,16,1,16,NVidia GeForce RTX 4070,,,2.3,https://www.pccomponentes.com/portatil-msi-sword-16-hx-b14vgkg-872xes-intel-core-i7-14650hx-16gb-1tb-ssd-rtx-4070-16,
,8,16,512,15.6,NVIDIA GeForce RTX 3050,3,FreeDOS,2.29,https://www.pccomponentes.com/hp-victus-15-fa0059ns-intel-core-i5-12450h-16gb-512gb-ssd-rtx-3050-156,
2.0 GHz,2,8,256,15.6,Intel UHD Graphics 600,3,Windows 11,,https://www.pccomponentes.com/alurin-go-start-intel-celeron-n4020-8gb-256gb-ssd-156-windows-11-home,5000
,8,16,512,14,,3,Windows 11 Pro,1.66,https://www.pccomponentes.com/portatil-dell-inspiron-3530-intel-core-i7-1355u-16gb-512gb-ssd-156,
4.3 GHz,4,16 GB,1 TB,15.6,AMD Radeon Graphics,3,FreeDOS,1.59 kg,https://www.pccomponentes.com/portatil-hp-15-fc0069ns-amd-ryzen-5-7520u-16gb-1tb-ssd-156,
,,16,512,15.6,NVidia GeForce RTX,2,,,https://www.pccomponentes.com/pccom-revolt-4070-intel-core-i9-14900hx-32gb-2tb-ssd-rtx-4070-173,4400
4.3GHz,8,16,512,15.6,AMD Radeon,5,,1.8,https://www.pccomponentes.com/acer-aspire-3-a315-44p-amd-ryzen-7-5700u-16gb-512gb-ssd-156,
1.8 GHz,4,16,512,14,,3,Windows 11 Pro,1.38,https://www.pccomponentes.com/portatil-lenovo-thinkbook-14-g7-iml-intel-core-ultra-7-155h-16gb-512gb-ssd-14,
4.5GHz,6,8,512,15.6,Integrated Intel UHD Graphics,3,Windows 11 Home 64 Bits,1.65,https://www.pccomponentes.com/portatil-lenovo-v15-g4-iru-intel-core-i3-1315u-8gb-512gb-ssd-156,
,4,8,512,14,,3,Windows 11 Pro,1.66,https://www.pccomponentes.com/portatil-dell-inspiron-3530-intel-core-i5-1334u-16gb-512gb-ssd-156,
,4,8,256,14,,3,FreeDOS,1.59,https://www.pccomponentes.com/portatil-hp-15-fd0246ns-intel-core-i5-1334u-16gb-1tb-ssd-156,
,8,8,256,13.6,,,macOS Sonoma,,https://www.pccomponentes.com/portatil-apple-macbook-air-apple-m3-8-nucleos-24gb-512gb-ssd-gpu-10-nucleos-136-gris-espacial,
4.3,4,16,1000,15.6,AMD Radeon,5,Windows 11 Home 64 Bits,1.59,https://www.pccomponentes.com/hp-15-fc0091ns-amd-ryzen-5-7520u-16gb-1tb-ssd-156,
2.3 GHz,8,16,512,,NVIDIA GeForce RTX 4080 Ti,3,,2.33,https://www.pccomponentes.com/hp-victus-16-r1012ns-intel-core-i7-14650hx-16gb-1tb-ssd-rtx-4070-161,
,16,64,512,14.2,,4,macOS,1.6,https://www.pccomponentes.com/portatil-apple-macbook-pro-apple-m4-pro-12-nucleos-24gb-512gb-ssd-gpu-16-nucleos-14-plata,
2.9,,8,256,14,,3,Windows 11 Home,1.59,https://www.pccomponentes.com/portatil-hp-15-fd0247ns-intel-core-i5-1334u-16gb-1tb-ssd-156,
4.5GHz,6C,8GB,512GB,15.6,Intel Iris Xe,3,,1.65kg,https://www.pccomponentes.com/portatil-lenovo-v15-g4-iru-intel-core-i3-1315u-8gb-512-gb-ssd-156,
5 GHz,10,16 GB,1 TB,15.6,Intel Iris Xe,3,Windows 11 Home,1.59 kg,https://www.pccomponentes.com/hp-15-fd0022ns-intel-core-i7-1355u-16gb-1tb-ssd-156,
2.9 GHz,,24 GB,512 GB,15.6 inches,Intel Ultra HD,3,Windows 11 Pro,1.57 kg,https://www.pccomponentes.com/vanwin-intel-celeron-n5095-24-gb-512-gb-ssd-156,5000
,,16,512,15.6,NVidia GeForce RTX,4,Windows,2.2,https://www.pccomponentes.com/pccom-revolt-4060-intel-core-ultra-7-155h-32gb-1tb-ssd-rtx-4060-16-windows-11-home,
4,8,12,512,14,Intel Iris Xe Graphics,3,,1.7,https://www.pccomponentes.com/portatil-asus-vivobook-15-f1504za-nj1474-intel-core-i5-1235u-16gb-512gb-ssd-156,
